"","institution","species","Lat","Lon","date"
"5076","Norsk zoologisk forening","Scophthalmus_maximus",59.416234,10.609041,"06.09.2018 00:00:00"
"5077","Norsk zoologisk forening","Scophthalmus_rhombus",59.416234,10.609041,"06.09.2018 00:00:00"
"5078","Norsk zoologisk forening","Myoxocephalus_scorpius",59.416234,10.609041,"01.10.2018 00:00:00"
"5079","Norsk zoologisk forening","Scophthalmus_maximus",59.318996,10.675049,"16.10.2018 00:00:00"
"5080","Norsk zoologisk forening","Pleuronectes_platessa",59.416234,10.609041,"18.10.2018 00:00:00"
"5081","Norsk zoologisk forening","Limanda_limanda",59.416234,10.609041,"18.10.2018 00:00:00"
"5082","Norsk zoologisk forening","Myoxocephalus_scorpius",59.318996,10.675049,"28.10.2018 00:00:00"
"5083","Norsk zoologisk forening","Pleuronectes_platessa",59.318996,10.675049,"05.11.2018 00:00:00"
"5084","Norsk zoologisk forening","Limanda_limanda",59.318996,10.675049,"05.11.2018 00:00:00"
"5085","Norsk zoologisk forening","Hippoglossoides_platessoides",59.416234,10.609041,"05.11.2018 00:00:00"
"5086","Norsk zoologisk forening","Taurulus_bubalis",59.43526,10.587319,"08.11.2018 00:00:00"
"5087","Norsk zoologisk forening","Syngnathus_acus",59.895041,10.676828,"30.08.2018 00:00:00"
"5088","Norsk zoologisk forening","Myxine_glutinosa",59.532474,10.265857,"10.06.2018 00:00:00"
"5091","Norsk zoologisk forening","Pollachius_virens",59.807857,10.611376,"19.01.2019 00:00:00"
"5092","Norsk zoologisk forening","Mola_mola",59.891973,10.634786,"01.03.2019 00:00:00"
"5094","Norsk zoologisk forening","Gobius_niger",59.251057,10.734329,"19.01.2019 00:00:00"
"5095","Norsk zoologisk forening","Zoarces_viviparus",59.251057,10.734329,"28.01.2019 00:00:00"
"5096","Norsk zoologisk forening","Myoxocephalus_scorpius",59.251057,10.734329,"28.01.2019 00:00:00"
"5097","Norsk zoologisk forening","Perca_fluviatilis",59.666962,10.563864,"27.02.2019 00:00:00"
"5098","Norsk zoologisk forening","Lepomis_gibbosus",59.666962,10.563864,"27.02.2019 00:00:00"
"5099","Miljødirektoratet","Salmo_trutta",59.452225,10.35403,"29.09.2018 00:00:00"
"5101","Norsk zoologisk forening","Limanda_limanda",59.254341,10.723414,"21.03.2019 00:00:00"
"5102","Norsk zoologisk forening","Myoxocephalus_scorpius",59.254341,10.723414,"21.03.2019 00:00:00"
"5105","Norsk zoologisk forening","Carassius_carassius",59.776847,10.702034,"20.04.2019 00:00:00"
"5106","Norsk zoologisk forening","Myoxocephalus_scorpius",59.777041,10.709868,"21.04.2019 00:00:00"
"5107","Norsk zoologisk forening","Gobiusculus_flavescens",59.777041,10.709868,"21.04.2019 00:00:00"
"5108","Norsk zoologisk forening","Ammodytes_tobianus",59.040488,10.227778,"17.04.2019 00:00:00"
"5109","Norsk zoologisk forening","Gasterosteus_aculeatus",59.088843,10.911054,"22.04.2019 00:00:00"
"5110","Norsk zoologisk forening","Gobiusculus_flavescens",59.445381,10.455896,"08.04.2019 00:00:00"
"5111","Norsk zoologisk forening","Phrynorhombus_norvegicus",59.445395,10.45657,"16.04.2019 00:00:00"
"5112","Norsk zoologisk forening","Callionymus_lyra",59.445824,10.456345,"22.04.2019 00:00:00"
"5113","Norsk zoologisk forening","Syngnathus_acus",59.445381,10.455896,"31.10.2018 00:00:00"
"5114","Norsk zoologisk forening","Pollachius_virens",59.732789,10.589323,"01.05.2019 00:00:00"
"5115","Norsk zoologisk forening","Pollachius_pollachius",59.732789,10.589323,"01.05.2019 00:00:00"
"5116","Norsk zoologisk forening","Gadus_morhua",59.732789,10.589323,"01.05.2019 00:00:00"
"5117","Norsk zoologisk forening","Ctenolabrus_rupestris",59.732789,10.589323,"01.05.2019 00:00:00"
"5118","Norsk zoologisk forening","Labrus_bergylta",59.732789,10.589323,"01.05.2019 00:00:00"
"5119","Norsk zoologisk forening","Symphodus_melops",59.732789,10.589323,"01.05.2019 00:00:00"
"5120","Norsk zoologisk forening","Belone_belone",59.138954,10.913677,"05.05.2019 00:00:00"
"5121","Norsk zoologisk forening","Carassius_carassius",59.77805,10.702474,"22.04.2019 00:00:00"
"5122","Norsk zoologisk forening","Carassius_carassius",59.77805,10.702474,"22.04.2019 00:00:00"
"5123","Norsk zoologisk forening","Carassius_carassius",59.77805,10.702474,"22.04.2019 00:00:00"
