"","Lon","Lat","species","value"
"906",10.5658333333333,59.8613333333333,"Pomatoschistus_minutus",6
"907",10.5538333333333,59.8555,"Pomatoschistus_minutus",3
"908",10.3923333333333,59.1743333333333,"Pomatoschistus_minutus",1
"910",10.3765,59.1648333333333,"Pomatoschistus_minutus",1
"911",10.3758333333333,59.1593333333333,"Pomatoschistus_minutus",1
"913",10.3923333333333,59.1743333333333,"Pomatoschistus_minutus",1
"914",10.5538,59.8555,"Pomatoschistus_minutus",2
"917",10.73198,59.88758,"Pomatoschistus_minutus",2
"918",10.519,59.22066,"Pomatoschistus_minutus",1
"919",10.53356,59.22054,"Pomatoschistus_minutus",5
"922",10.732,59.8875,"Gobius_niger",2
"923",10.5658333333333,59.8613333333333,"Gobius_niger",27
"924",10.3758333333333,59.1593333333333,"Gobius_niger",9
"925",10.3923333333333,59.1743333333333,"Gobius_niger",34
"926",10.3765,59.1648333333333,"Gobius_niger",11
"927",10.3765,59.1648333333333,"Gobius_niger",3
"928",10.3758333333333,59.1593333333333,"Gobius_niger",12
"929",10.3923333333333,59.1743333333333,"Gobius_niger",13
"930",10.732,59.8875,"Gobius_niger",13
"931",10.6873333333333,59.8521666666667,"Gobius_niger",8
"932",10.5538333333333,59.8555,"Gobius_niger",22
"933",10.5658333333333,59.8613333333333,"Gobius_niger",42
"934",10.6873333333333,59.8521666666667,"Gobius_niger",5
"935",10.5538333333333,59.8555,"Gobius_niger",48
"936",10.5658333333333,59.8613333333333,"Gobius_niger",51
"937",10.732,59.8875,"Gobius_niger",20
"938",10.3765,59.1648333333333,"Gobius_niger",18
"939",10.3758333333333,59.1593333333333,"Gobius_niger",81
"940",10.3923333333333,59.1743333333333,"Gobius_niger",196
"941",10.519,59.2206666666667,"Gobius_niger",23
"942",10.5335,59.2205,"Gobius_niger",2
"943",10.5366666666667,59.2161666666667,"Gobius_niger",88
"944",10.6873333333333,59.8521666666667,"Gobius_niger",3
"945",10.732,59.8875,"Gobius_niger",18
"946",10.5658333333333,59.8613333333333,"Gobius_niger",19
"947",10.5538333333333,59.8555,"Gobius_niger",40
"948",10.3923333333333,59.1743333333333,"Gobius_niger",66
"949",10.3758333333333,59.1593333333333,"Gobius_niger",94
"950",10.3765,59.1648333333333,"Gobius_niger",12
"951",10.3758333333333,59.1593333333333,"Gobius_niger",51
"952",10.3765,59.1648333333333,"Gobius_niger",22
"953",10.3923333333333,59.1743333333333,"Gobius_niger",307
"954",10.5538,59.8555,"Gobius_niger",19
"955",10.56587,59.86135,"Gobius_niger",59
"956",10.68732,59.85213,"Gobius_niger",9
"957",10.73198,59.88758,"Gobius_niger",12
"958",10.519,59.22066,"Gobius_niger",27
"959",10.53356,59.22054,"Gobius_niger",2
"960",10.53668,59.21618,"Gobius_niger",45
"982",10.5335,59.2205,"Entelurus_aequoreus",1
"1003",10.5658333333333,59.8613333333333,"Syngnathus_typhle",1
"1004",10.3758333333333,59.1593333333333,"Syngnathus_typhle",1
"1005",10.3923333333333,59.1743333333333,"Syngnathus_typhle",3
"1008",10.3758333333333,59.1593333333333,"Syngnathus_typhle",1
"1009",10.3923333333333,59.1743333333333,"Syngnathus_typhle",1
"1015",10.5538333333333,59.8555,"Syngnathus_typhle",1
"1018",10.3765,59.1648333333333,"Syngnathus_typhle",1
"1019",10.3758333333333,59.1593333333333,"Syngnathus_typhle",2
"1020",10.3923333333333,59.1743333333333,"Syngnathus_typhle",10
"1021",10.519,59.2206666666667,"Syngnathus_typhle",6
"1022",10.5335,59.2205,"Syngnathus_typhle",3
"1023",10.5366666666667,59.2161666666667,"Syngnathus_typhle",6
"1026",10.5658333333333,59.8613333333333,"Syngnathus_typhle",1
"1027",10.5538333333333,59.8555,"Syngnathus_typhle",1
"1028",10.3923333333333,59.1743333333333,"Syngnathus_typhle",6
"1029",10.3758333333333,59.1593333333333,"Syngnathus_typhle",6
"1033",10.3923333333333,59.1743333333333,"Syngnathus_typhle",3
"1040",10.53668,59.21618,"Syngnathus_typhle",1
"1046",10.3765,59.1648333333333,"Labrus_bergylta",1
"1055",10.5538333333333,59.8555,"Labrus_bergylta",1
"1059",10.3758333333333,59.1593333333333,"Labrus_bergylta",3
"1060",10.3923333333333,59.1743333333333,"Labrus_bergylta",2
"1063",10.5366666666667,59.2161666666667,"Labrus_bergylta",3
"1069",10.3758333333333,59.1593333333333,"Labrus_bergylta",3
"1073",10.3923333333333,59.1743333333333,"Labrus_bergylta",1
"1078",10.519,59.22066,"Labrus_bergylta",1
"1079",10.53356,59.22054,"Labrus_bergylta",1
"1106",10.5658333333333,59.8613333333333,"Chelidonichthys_lucerna",1
