,Abramis_brama,Ammodytes_marinus,Anguilla_rostrata,Aphia_minuta,Belone_belone,Buglossidium_luteum,Callionymus_lyra,Callionymus_maculatus,Chelidonichthys_cuculus,Ciliata_mustela,Ciliata_septentrionalis,Clupea_harengus,Clupea_pallasii,Crystallogobius_linearis,Ctenolabrus_rupestris,Cyclopterus_lumpus,Enchelyopus_cimbrius,Engraulis_encrasicolus,Entelurus_aequoreus,Gadiculus_argenteus,Gadus_macrocephalus,Gadus_morhua,Gasterosteus_aculeatus,Glyptocephalus_cynoglossus,Gobius_niger,Gobiusculus_flavescens,Gymnocephalus_cernua,Hippoglossoides_platessoides,Labrus_bergylta,Labrus_mixtus,Lesueurigobius_friesii,Limanda_limanda,Liparis_montagui,Melanogrammus_aeglefinus,Merlangius_merlangus,Myoxocephalus_scorpius,Oncorhynchus_gorbuscha,Osmerus_eperlanus,Perca_fluviatilis,Pholis_gunnellus,Phoxinus_phoxinus,Phrynorhombus_norvegicus,Platichthys_flesus,Pleuronectes_platessa,Pollachius_pollachius,Pollachius_virens,Pomatoschistus_microps,Pomatoschistus_minutus,Pomatoschistus_pictus,Raniceps_raninus,Salmo_salar,Salmo_trutta,Sardina_pilchardus,Scomber_scombrus,Scophthalmus_maximus,Scophthalmus_rhombus,Scyliorhinus_canicula,Solea_solea,Spinachia_spinachia,Sprattus_sprattus,Symphodus_melops,Syngnathus_acus,Syngnathus_rostellatus,Syngnathus_typhle,Taurulus_bubalis,Thunnus_alalunga,Trachinus_draco,Trisopterus_luscus,Trisopterus_minutus,Zeugopterus_punctatus,Zoarces_viviparus
X64,0,0,0,10,11,0,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,0,56,146,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,507,0,0,21,0,17610,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
X74,0,0,26,79,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,72,0,298,537,0,0,34,0,0,0,0,0,342,985,0,0,0,0,0,104,390,2910,0,0,7373,2944,0,81,0,0,0,0,0,0,0,0,69,0,327,0,0,0,0,0,0,0,0,0,0
X75,0,0,0,0,34,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,790,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
X76,0,0,0,65,0,0,0,0,0,0,0,0,0,0,999,0,0,1447,0,0,101,0,0,0,45,1517,0,0,40,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,77,0,0,26,0,0,0,0,0,0,0,0,534,0,0,82,498,0,0,0,0,0,37
X77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,3824,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3825,0,0,0,0,0,0,0,0,0,0
X78,0,0,115,158,143,0,0,0,0,0,0,0,0,0,4704,0,0,161,0,0,171,0,0,0,31,142,0,0,0,0,133,0,0,0,136,147,0,0,0,0,0,0,275,167,0,106,0,0,0,0,0,163,0,106,0,0,11,0,0,0,69,0,0,0,131,0,0,0,0,0,0
X79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7949,0,0,926,0,0,366,123,0,0,4,0,0,103,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,157,0,101,0,0,0,87,0,682,0,377,0,0,0,0,322,0,0,0,0,0,0,0,0,240,151
X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,604,0,0,0,0,0,0,0,0,0,0,167,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
X80,0,0,330,105,0,0,0,0,0,527,0,8,0,0,2073,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,167,0,318,0,0,0,125,0,0,0,0,0,119,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,107,0,0,0,0,0,0
X81,0,0,78,13,21,0,0,0,0,0,0,0,0,0,706,0,0,5,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,4
