"","Lon","Lat","species","value"
"1161",10.4289222,59.0797784,"Gasterosteus_aculeatus",75
"1195",10.845383,59.134642,"Glyptocephalus_cynoglossus",46
"1198",10.741256,59.2329992,"Glyptocephalus_cynoglossus",85
"1210",10.666783,59.896269,"Glyptocephalus_cynoglossus",3000
"1212",10.6984081,59.8888874,"Glyptocephalus_cynoglossus",940
"1218",10.5143874,59.8324791,"Glyptocephalus_cynoglossus",32
"1265",10.61246,59.873486,"Gobius_niger",297
"1266",10.61246,59.873486,"Gobius_niger",57
"1267",10.556143,59.205435,"Gobius_niger",103
"1269",10.486574,59.260094,"Gobius_niger",448
"1272",10.5075018,59.2390056,"Gobius_niger",41
"1275",10.512778,59.733889,"Gobius_niger",230
"1277",10.741256,59.2329992,"Gobius_niger",121
"1278",10.66986667,59.86443333,"Gobius_niger",112
"1282",10.229167,59.11,"Gobius_niger",22
"1283",10.585,59.663056,"Gobius_niger",290
"1286",10.519444,59.726667,"Gobius_niger",492
"1292",10.519167,59.695556,"Gobius_niger",137
"1297",10.5143874,59.8324791,"Gobius_niger",22
"1299",10.53,58.88,"Gobius_niger",50
"1302",10.7166776,59.8842081,"Gobius_niger",88
"1305",10.754722,59.868889,"Gobius_niger",160
"1306",10.778583,59.872806,"Gobius_niger",66
"1307",10.774639,59.842972,"Gobius_niger",211
"1309",10.782444,59.854306,"Gobius_niger",201
"1310",10.565982,59.878324,"Gobius_niger",107
"1311",10.563127,59.877348,"Gobius_niger",102
"1312",10.599488,59.874648,"Gobius_niger",20
"1315",10.56704,59.880428,"Gobius_niger",83
"1318",10.5764111881125,59.8555285108815,"Gobius_niger",56
"1319",10.4289222,59.0797784,"Gobius_niger",327
"1321",10.68446,59.489083,"Gobius_niger",69
"1322",10.685589,59.482238,"Gobius_niger",383
"1323",10.674155,59.463364,"Gobius_niger",31
"1328",10.594358,59.417073,"Gobius_niger",65
"1330",10.587394,59.432736,"Gobius_niger",46
"1333",10.521936,59.701987,"Gobius_niger",185
"1334",10.604175,59.441273,"Gobius_niger",155
"1344",10.61246,59.873486,"Gobiusculus_flavescens",518
"1345",10.61246,59.873486,"Gobiusculus_flavescens",920
"1346",10.556143,59.205435,"Gobiusculus_flavescens",136
"1347",10.54171,59.210345,"Gobiusculus_flavescens",125
"1348",10.486574,59.260094,"Gobiusculus_flavescens",317
"1350",10.599975,59.175279,"Gobiusculus_flavescens",114
"1351",10.5075018,59.2390056,"Gobiusculus_flavescens",71
"1352",10.4341126,59.0639565,"Gobiusculus_flavescens",517
"1354",10.512778,59.733889,"Gobiusculus_flavescens",3948
"1356",10.741256,59.2329992,"Gobiusculus_flavescens",614
"1357",10.66986667,59.86443333,"Gobiusculus_flavescens",811
"1360",10.238333,59.072778,"Gobiusculus_flavescens",164
"1364",10.393139,59.16525,"Gobiusculus_flavescens",299
"1365",10.519444,59.726667,"Gobiusculus_flavescens",537
"1366",10.389444,59.171222,"Gobiusculus_flavescens",1166
"1371",10.519167,59.695556,"Gobiusculus_flavescens",153
"1372",10.53,59.88,"Gobiusculus_flavescens",232
"1375",10.67,59.92,"Gobiusculus_flavescens",241
