"","Ammodytes_marinus","Anguilla_anguilla","Aphia_minuta","Belone_belone","Buglossidium_luteum","Ciliata_mustela","Clupea_harengus","Crystallogobius_linearis","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis_encrasicolus","Gadiculus_argenteus","Gadus_morhua","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius_niger","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pollachius_pollachius","Pollachius_virens","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_minutus","Zeugopterus_punctatus"
"50",0,0,221,0,0,0,0,0,111,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,52,0,0,0,0,0,0,0,47,0,0,173,0,0,0,0,0,0,154,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,56,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,532,0,0,23,0,19419,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"74",0,29,81,0,0,0,48,0,0,0,0,0,0,0,75,0,327,549,0,0,36,0,0,0,0,361,1050,0,0,0,0,105,401,2986,0,0,7629,3075,0,83,0,0,0,0,0,0,0,70,0,344,0,0,0,0,0,0,0,0
"75",0,0,0,35,0,0,0,0,103,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,65,0,0,0,0,0,1006,0,0,753,0,104,0,0,69,1549,0,0,42,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,79,0,0,28,0,0,0,0,0,0,0,552,0,0,87,613,0,0,0,0
"77",0,0,0,0,0,0,0,0,195,0,0,3873,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912,0,0,0,0,0,0,0,0
"78",0,117,158,144,0,0,0,0,4766,0,0,124,0,176,0,0,31,144,0,0,0,133,0,0,0,139,153,0,0,0,0,0,275,170,0,0,0,0,0,0,0,193,0,118,0,0,0,0,20,71,0,0,0,69,0,0,0,0
"79",0,0,0,0,0,0,0,0,8094,0,0,938,0,381,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,163,0,101,0,0,0,96,0,778,0,388,0,0,0,334,0,0,0,0,0,0,0,252
"8",0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,226,0,0,618,0,0,0,0,0,0,0,0,0,170,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
