"","Abramis_brama","Ammodytes_marinus","Anguilla_anguilla","Aphia","Aphia_minuta","Belone_belone","Buglossidium_luteum","Callionymus_lyra","Callionymus_maculatus","Ciliata","Ciliata_mustela","Ciliata_septentrionalis","Clupea_harengus","Clupeidae","Crystallogobius_linearis","Ctenolabrus","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis","Engraulis_encrasicolus","Entelurus_aequoreus","Eutrigla_gurnardus","Gadiculus_argenteus","Gadidae","Gadus_morhua","Gasterosteus","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius","Gobius_niger","Gobiusculus","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Labrus_mixtus","Lampetra_planeri","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Mallotus_villosus","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","no identification","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phoxinus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pleuronectidae","Pollachius","Pollachius_pollachius","Pollachius_virens","Pomatoschistus","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Rutilus","Rutilus_rutilus","Salmo","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Scyliorhinus_canicula","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_esmarkii","Trisopterus_minutus","Zeugopterus_punctatus"
"167_S79_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169_S80_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17_S12_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,241,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,57,0,0,24,0,0,0,0,0,0,107,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
"170_S81_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
"171_S82_L001_R1_001",0,0,0,0,25,0,0,0,0,0,68,0,0,52,0,0,1151,0,22,0,0,0,0,0,0,62,0,46,32,0,22,0,252,0,74,22,0,0,16,0,0,0,0,0,84,1750,0,0,0,16,0,0,174,123,0,0,0,32,0,456,66,526,0,0,0,0,0,0,0,619,89,0,0,0,0,0,502,0,0,0,0,127,0,0,0,0,0
"173_S83_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"178_S84_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,124,0,0,0,0,0
"18_S13_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,68,0,145,0,0,50,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186_S85_L001_R1_001",0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187_S86_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,81,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19_S14_L001_R1_001",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,23,0,0,0,0,0,0,0,0,19,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190_S87_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192_S88_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3546,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0,0,0,0,0,0
"193_S89_L001_R1_001",0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,90,0,0,88,0,0,0,0,0,0,0,0,0,91,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"194_S90_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1F_S58_L001_R1_001",0,403,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,472,928,0,574,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,85,2122,3217,0,0,405,0,0,0,0,140,0,0,0,0,0,0,0,0,5,0,0
"1L_S59_L001_R1_001",0,2601,0,0,0,0,0,0,0,0,0,0,3021,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,871,0,0,1010,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,2204,7533,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
